,Clave_Estado,Region_accessState,Estado_accessState,Numero_de_municipios_accessState,Superficie_km2_accessState,Poblacion_accessState,Poblacion_adulta_accessState,%_Poblacion_adulta_accessState,Sucursales_banca_comercial_10mil_adultos,Sucursales_banca_desarrollo_10mil_adultos,Sucursales_cooperativas_10mil_adultos,Sucursales_microfinancieras_10mil_adultos,Total_sucursales_10mil_adultos,Corresponsales_10mil_adultos,Cajeros_10mil_adultos,TPV_10mil_adultos,Establecimientos_con_TPV_10mil_adultos,Contratos_celular_10mil_adultos,Sucursales_banca_comercial,Sucursales_banca_desarrollo,Sucursales_cooperativas,Sucursales_microfinancieras,Total_sucursales,Corresponsales,Cajeros,Terminales_punto_de_venta,Establecimientos_con_TPV,Contratos_celular,Region_eacpUsageState,Estado_eacpUsageState,Numero_de_municipios_eacpUsageState,Superficie_km2_eacpUsageState,Poblacion_eacpUsageState,Poblacion_adulta_eacpUsageState,%_Poblacion_adulta_eacpUsageState,Cuentas_deposito_ahorro_10mil_adultos_EACP,Cuentas_deposito_a_la_vista_10mil_adultos_EACP,Cuentas_deposito_a_plazo_10mil_adultos_EACP,Tarjeta_debito_10mil_adultos_EACP,Cuentas_credito_al_consumo_10mil_adultos_EACP,Cuentas_credito_a_la_vivienda_10mil_adultos_EACP,Contratos_deposito_al_ahorro_EACP,Contratos_deposito_a_la_vista_EACP,Contratos_deposito_a_plazo_EACP,Contratos_tarjeta_debito_EACP,Contratos_credito_al_consumo_EACP,Contratos_credito_a_la_vivienda_EACP,Region,Estado,Numero_de_municipios,Superficie_km2,Poblacion,Poblacion_adulta,%_Poblacion_adulta,Cuentas_Nivel1_10mil_adultos_Banca,Cuentas_Nivel2_10mil_adultos_Banca,Cuentas_Nivel3_10mil_adultos_Banca,Cuentas_cuentas_transaccionales_tradicionales_10mil_adultos_Banca,Cuentas_ahorro_10mil_adultos_ Banca,Cuentas_depositos_plazo_10mil_adultos_Banca,Tarjetas_debito_10mil_adultos_Banca,Tarjetas_credito_10mil_adultos_Banca,Creditos_hipotecarios_10mil_adultos_Banca,Creditos_grupales_10mil_adultos_Banca,Creditos_personales_10mil_adultos_Banca,Creditos_nomina_10mil_adultos_Banca,Creditos_automotrices_10mil_adultos_Banca,Creditos_ABCD_10mil_adultos_Banca,Transacciones_en_TPV_10mil_adultos_Banca,Transacciones_en_Cajeros_10mil_adultos_Banca,Contratos_cuentas_transaccionales_Nivel_1_Banca,Contratos_cuentas_transaccionales_Nivel_2_Banca,Contratos_cuentas_transaccionales_Nivel_3_Banca,Contratos_cuentas_transaccionales_tradicionales_Banca,Contratos_cuentas_de_ahorro_Banca,Contratos_depositos_a_plazo_Banca,Contratos_tarjetas_de_debito_Banca,Contratos_tarjetas_de_credito_Banca,Contratos_hipotecarios_Banca,Contratos_grupales_Banca,Contratos_personales_Banca,Contratos_nomina_Banca,Contratos_automotrices_Banca,Contratos_ABCD_Banca,Transacciones_en_TPV_Banca,Transacciones_en_cajeros_Banca,Entidad_Federativa,Poblacion_total,Poblacion_adulta_bankUsageNational,%_Poblacion_adulta_bankUsageNational,Cuentas_Nivel1_10mil_adultos_Banca_bankUsageNational,Cuentas_Nivel2_10mil_adultos_Banca_bankUsageNational,Cuentas_Nivel3_10mil_adultos_Banca_bankUsageNational,Cuentas_cuentas_transaccionales_tradicionales_10mil_adultos_Banca_bankUsageNational,Cuentas_ahorro_10mil_adultos_Banca,Cuentas_depositos_plazo_10mil_adultos_Banca_bankUsageNational,Tarjetas_debito_10mil_adultos_Banca_bankUsageNational,Tarjetas_credito_10mil_adultos_Banca_bankUsageNational,Creditos_hipotecarios_10mil_adultos_Banca_bankUsageNational,Creditos_grupales_10mil_adultos_Banca_bankUsageNational,Creditos_personales_10mil_adultos_Banca_bankUsageNational,Creditos_nomina_10mil_adultos_Banca_bankUsageNational,Creditos_automotrices_10mil_adultos_Banca_bankUsageNational,Creditos_ABCD_10mil_adultos_Banca_bankUsageNational,Entidad_Federativa_eacpUsageNational,Poblacion_total_eacpUsageNational,Poblacion_adulta_eacpUsageNational,%_Poblacion_adulta_eacpUsageNational,Cuentas_deposito_ahorro_10mil_adultos_EACP_eacpUsageNational,Cuentas_deposito_a_la_vista_10mil_adultos_EACP_eacpUsageNational,Cuentas_deposito_a_plazo_10mil_adultos_EACP_eacpUsageNational,Tarjeta_debito_10mil_adultos_EACP_eacpUsageNational,Cuentas_credito_al_consumo_10mil_adultos_EACP_eacpUsageNational,Cuentas_credito_a_la_vivienda_10mil_adultos_EACP_eacpUsageNational,Entidad_Federativa_demographicAccessNational,Poblacion_total_demographicAccessNational,Poblacion_adulta_demographicAccessNational,%_Poblacion_adulta_demographicAccessNational,Sucursales_totales_10mil_adultos,Corresponsales_10mil_adultos_demographicAccessNational,Sucursales_corresponsales_10mil_adultos,Cajeros_10mil_adultos_demographicAccessNational,TPV_10mil_adultos_demographicAccessNational,Establecimientos_con_TPV_10mil_adultos_demographicAccessNational,Contratos_celular_10mil_adultos_demographicAccessNational
0,1.0,Occidente y Bajío,Aguascalientes,11.0,5569.0,1480885.0,1098083.0,0.74,1.22,0.12,0.21,0.06,1.61,6.55,7.1,167.59,114.92,7156.8,134.0,13.0,23.0,7.0,177.0,719.0,780.0,18403.0,12619.0,785876.0,Occidente y Bajío,Aguascalientes,11.0,5569.0,1462736.0,1077936.0,0.74,826.0,867.0,141.0,13129.0,311.0,3.0,88998.0,93415.0,15149.0,715.0,33495.0,358.0,Occidente y Bajío,Aguascalientes,11.0,5569.0,1462736.0,1077936.0,0.74,0.0,1753.0,29.0,8432.0,72.0,261.0,13129.0,3180.0,261.0,78.0,1479.0,731.0,134.0,557.0,24012.0,23533.0,1.0,188936.0,3104.0,908869.0,7792.0,28137.0,1415200.0,342793.0,28134.0,8365.0,159439.0,78773.0,14488.0,60074.0,2588296.0,2536669.0,Aguascalientes,1462736.0,1077936.0,0.74,0.0,1753.0,29.0,8432.0,72.0,261.0,13129.0,3180.0,261.0,78.0,1479.0,731.0,134.0,557.0,Aguascalientes,1462736.0,1077936.0,0.74,826.0,867.0,141.0,7.0,311.0,3.0,Aguascalientes,1462736.0,1077936.0,0.74,1.63,6.63,8.27,7.15,170.9,118.6,7220.0
1,2.0,Noroeste,Baja California,6.0,70113.0,3771210.0,2864074.0,0.76,1.22,0.1,0.0,0.1,1.42,8.49,9.4,150.06,84.66,8596.81,349.0,29.0,1.0,28.0,407.0,2431.0,2692.0,42979.0,24247.0,2462191.0,Noroeste,Baja California,6.0,70113.0,3717519.0,2809890.0,0.76,45.0,300.0,55.0,17887.0,13.0,0.0,12624.0,84282.0,15416.0,0.0,3723.0,51.0,Noroeste,Baja California,6.0,70113.0,3717519.0,2809890.0,0.76,0.0,1806.0,12.0,10785.0,119.0,148.0,17887.0,3544.0,216.0,214.0,908.0,699.0,140.0,241.0,40195.0,27232.0,5.0,507515.0,3234.0,3030564.0,33521.0,41689.0,5026125.0,995873.0,60741.0,60002.0,255031.0,196290.0,39289.0,67666.0,11294358.0,7651823.0,Baja California,3717519.0,2809890.0,0.76,0.0,1806.0,12.0,10785.0,119.0,148.0,17887.0,3544.0,216.0,214.0,908.0,699.0,140.0,241.0,Baja California,3717519.0,2809890.0,0.76,45.0,300.0,55.0,0.0,13.0,0.0,Baja California,3717519.0,2809890.0,0.76,1.4,8.51,9.91,9.43,158.4,90.3,8819.0
2,3.0,Noroeste,Baja California Sur,5.0,73677.0,845127.0,634825.0,0.75,1.98,0.24,0.02,0.08,2.32,9.83,12.54,297.48,171.89,8794.77,126.0,15.0,1.0,5.0,147.0,624.0,796.0,18885.0,10912.0,558314.0,Noroeste,Baja California Sur,5.0,73677.0,829104.0,620551.0,0.75,33.0,335.0,30.0,18464.0,33.0,0.0,2025.0,20780.0,1850.0,12.0,2031.0,22.0,Noroeste,Baja California Sur,5.0,73677.0,829104.0,620551.0,0.75,0.0,1588.0,22.0,11609.0,119.0,145.0,18464.0,3862.0,247.0,338.0,1207.0,788.0,133.0,278.0,51499.0,26364.0,3.0,98530.0,1384.0,720383.0,7398.0,8994.0,1145785.0,239669.0,15310.0,20957.0,74930.0,48917.0,8233.0,17244.0,3195749.0,1635992.0,Baja California Sur,829104.0,620551.0,0.75,0.0,1588.0,22.0,11609.0,119.0,145.0,18464.0,3862.0,247.0,338.0,1207.0,788.0,133.0,278.0,Baja California Sur,829104.0,620551.0,0.75,33.0,335.0,30.0,0.0,33.0,0.0,Baja California Sur,829104.0,620551.0,0.75,2.35,9.8,12.15,12.8,308.0,181.2,8825.0
3,4.0,Sur,Campeche,12.0,56859.0,1041253.0,772289.0,0.74,1.17,0.35,0.12,0.18,1.81,4.78,6.1,99.74,63.24,7028.33,90.0,27.0,9.0,14.0,140.0,369.0,471.0,7703.0,4884.0,542790.0,Sur,Campeche,12.0,56859.0,1025091.0,757470.0,0.74,446.0,859.0,116.0,13904.0,101.0,0.0,33806.0,65038.0,8813.0,519.0,7644.0,30.0,Sur,Campeche,12.0,56859.0,1025091.0,757470.0,0.74,0.0,1631.0,5.0,7817.0,80.0,143.0,13904.0,2186.0,131.0,382.0,1455.0,615.0,116.0,525.0,17481.0,21139.0,0.0,123522.0,356.0,592121.0,6063.0,10808.0,1053208.0,165580.0,9941.0,28956.0,110221.0,46618.0,8771.0,39753.0,1324106.0,1601218.0,Campeche,1025091.0,757470.0,0.74,0.0,1631.0,5.0,7817.0,80.0,143.0,13904.0,2186.0,131.0,382.0,1455.0,615.0,116.0,525.0,Campeche,1025091.0,757470.0,0.74,446.0,859.0,116.0,7.0,101.0,0.0,Campeche,1025091.0,757470.0,0.74,1.81,4.87,6.68,6.2,104.8,66.6,7120.0
4,5.0,Noreste,Coahuila,38.0,151571.0,3324079.0,2440256.0,0.73,1.34,0.11,0.11,0.09,1.64,8.26,8.76,163.92,89.48,8036.89,326.0,28.0,26.0,21.0,401.0,2016.0,2138.0,40000.0,21836.0,1961208.0,Noreste,Coahuila,38.0,151571.0,3282254.0,2402807.0,0.73,492.0,430.0,81.0,18790.0,140.0,1.0,118162.0,103270.0,19388.0,1200.0,33555.0,125.0,Noreste,Coahuila,38.0,151571.0,3282254.0,2402807.0,0.73,0.0,1927.0,20.0,9203.0,57.0,206.0,18790.0,2771.0,208.0,341.0,1268.0,918.0,140.0,481.0,32757.0,28821.0,11.0,462936.0,4756.0,2211332.0,13696.0,49500.0,4514892.0,665782.0,49937.0,81984.0,304583.0,220521.0,33520.0,115668.0,7870861.0,6925081.0,Coahuila,3282254.0,2402807.0,0.73,0.0,1927.0,20.0,9203.0,57.0,206.0,18790.0,2771.0,208.0,341.0,1268.0,918.0,140.0,481.0,Coahuila,3282254.0,2402807.0,0.73,492.0,430.0,81.0,5.0,140.0,1.0,Coahuila,3282254.0,2402807.0,0.73,1.63,8.24,9.86,8.76,166.2,92.9,8142.0
5,6.0,Occidente y Bajío,Colima,10.0,5455.0,814957.0,611660.0,0.75,1.41,0.31,1.05,0.34,3.11,9.52,7.16,158.73,86.73,7201.7,86.0,19.0,64.0,21.0,190.0,582.0,438.0,9709.0,5305.0,440499.0,Occidente y Bajío,Colima,10.0,5455.0,803172.0,600564.0,0.75,3995.0,1590.0,265.0,16367.0,1248.0,15.0,239905.0,95515.0,15887.0,343.0,74950.0,914.0,Occidente y Bajío,Colima,10.0,5455.0,803172.0,600564.0,0.75,0.0,1549.0,10.0,8550.0,161.0,192.0,16367.0,3285.0,203.0,146.0,1083.0,651.0,123.0,335.0,17982.0,22163.0,3.0,93000.0,571.0,513502.0,9673.0,11532.0,982922.0,197271.0,12163.0,8775.0,65018.0,39094.0,7399.0,20091.0,1079934.0,1331018.0,Colima,803172.0,600564.0,0.75,0.0,1549.0,10.0,8550.0,161.0,192.0,16367.0,3285.0,203.0,146.0,1083.0,651.0,123.0,335.0,Colima,803172.0,600564.0,0.75,3995.0,1590.0,265.0,6.0,1248.0,15.0,Colima,803172.0,600564.0,0.75,3.03,9.57,12.6,7.16,160.0,91.4,7304.0
6,7.0,Sur,Chiapas,124.0,75637.0,5933941.0,4073517.0,0.69,0.63,0.4,0.06,0.21,1.3,3.32,3.08,53.16,38.22,4961.36,257.0,161.0,26.0,84.0,528.0,1351.0,1255.0,21655.0,15570.0,2021017.0,Sur,Chiapas,124.0,75637.0,5852999.0,3999016.0,0.68,324.0,639.0,157.0,9689.0,98.0,1.0,129467.0,255592.0,62680.0,39.0,39051.0,218.0,Sur,Chiapas,124.0,75637.0,5852999.0,3999016.0,0.68,0.0,1363.0,5.0,4735.0,24.0,133.0,9689.0,1165.0,46.0,353.0,1115.0,289.0,47.0,378.0,5879.0,11807.0,10.0,545115.0,2039.0,1893414.0,9634.0,53120.0,3874825.0,465719.0,18219.0,141145.0,445846.0,115398.0,18666.0,151340.0,2351019.0,4721741.0,Chiapas,5852999.0,3999016.0,0.68,0.0,1363.0,5.0,4735.0,24.0,133.0,9689.0,1165.0,46.0,353.0,1115.0,289.0,47.0,378.0,Chiapas,5852999.0,3999016.0,0.68,324.0,639.0,157.0,0.0,98.0,1.0,Chiapas,5852999.0,3999016.0,0.68,1.24,3.29,4.53,3.03,54.1,39.4,4980.0
7,8.0,Noroeste,Chihuahua,67.0,247087.0,3886939.0,2921949.0,0.75,1.31,0.21,0.09,0.03,1.65,5.66,8.24,157.73,97.09,7669.75,384.0,62.0,26.0,10.0,482.0,1655.0,2407.0,46087.0,28368.0,2241063.0,Noroeste,Chihuahua,67.0,247087.0,3853714.0,2881249.0,0.75,808.0,333.0,70.0,16181.0,229.0,1.0,232765.0,95886.0,20142.0,239.0,66008.0,304.0,Noroeste,Chihuahua,67.0,247087.0,3853714.0,2881249.0,0.75,0.0,1626.0,69.0,9974.0,62.0,175.0,16181.0,3076.0,269.0,150.0,993.0,774.0,121.0,267.0,32702.0,24120.0,64.0,468537.0,19829.0,2873714.0,17925.0,50358.0,4662058.0,886363.0,77404.0,43152.0,286132.0,223011.0,34879.0,76929.0,9422306.0,6949490.0,Chihuahua,3853714.0,2881249.0,0.75,0.0,1626.0,69.0,9974.0,62.0,175.0,16181.0,3076.0,269.0,150.0,993.0,774.0,121.0,267.0,Chihuahua,3853714.0,2881249.0,0.75,808.0,333.0,70.0,1.0,229.0,1.0,Chihuahua,3853714.0,2881249.0,0.75,1.65,5.61,7.25,8.25,156.3,98.2,7848.0
8,9.0,Ciudad de México,Ciudad de México,16.0,1477.0,8977732.0,7423973.0,0.83,2.18,0.14,0.01,0.09,2.43,4.87,11.86,348.79,186.61,25008.35,1622.0,104.0,10.0,70.0,1806.0,3615.0,8802.0,258942.0,138540.0,18566133.0,Ciudad de México,Ciudad de México,16.0,1477.0,8995721.0,7408937.0,0.82,249.0,240.0,212.0,48567.0,72.0,0.0,184245.0,177773.0,157298.0,17727.0,53430.0,226.0,Ciudad de México,Ciudad de México,16.0,1477.0,8995721.0,7408937.0,0.82,4.0,13646.0,34.0,28149.0,235.0,1798.0,48567.0,9550.0,231.0,194.0,1701.0,782.0,168.0,444.0,153148.0,35625.0,2733.0,10110490.0,25028.0,20855770.0,174405.0,1332495.0,35982800.0,7075326.0,170941.0,143538.0,1260577.0,579476.0,124521.0,329106.0,113466376.0,26394575.0,Ciudad de México,8995721.0,7408937.0,0.82,4.0,13646.0,34.0,28149.0,235.0,1798.0,48567.0,9550.0,231.0,194.0,1701.0,782.0,168.0,444.0,Ciudad de México,8995721.0,7408937.0,0.82,249.0,240.0,212.0,24.0,72.0,0.0,Ciudad de México,8995721.0,7408937.0,0.82,2.44,4.84,7.28,11.91,340.3,187.2,24094.0
9,10.0,Noroeste,Durango,39.0,121687.0,1907291.0,1399663.0,0.73,0.89,0.29,0.31,0.07,1.56,6.03,5.72,87.98,61.84,6620.62,124.0,41.0,44.0,10.0,219.0,844.0,801.0,12314.0,8656.0,926664.0,Noroeste,Durango,39.0,121687.0,1892317.0,1380318.0,0.73,1660.0,1467.0,220.0,12113.0,657.0,6.0,229154.0,202471.0,30395.0,10397.0,90620.0,822.0,Noroeste,Durango,39.0,121687.0,1892317.0,1380318.0,0.73,0.0,1602.0,88.0,6291.0,42.0,135.0,12113.0,2099.0,130.0,295.0,1091.0,530.0,72.0,362.0,15634.0,18491.0,4.0,221091.0,12159.0,868333.0,5800.0,18628.0,1671919.0,289671.0,17889.0,40776.0,150642.0,73103.0,9953.0,49899.0,2157932.0,2552374.0,Durango,1892317.0,1380318.0,0.73,0.0,1602.0,88.0,6291.0,42.0,135.0,12113.0,2099.0,130.0,295.0,1091.0,530.0,72.0,362.0,Durango,1892317.0,1380318.0,0.73,1660.0,1467.0,220.0,75.0,657.0,6.0,Durango,1892317.0,1380318.0,0.73,1.51,6.04,7.56,5.63,90.2,64.1,6713.0
