Título,Label,Total 2022,Total 2023,Total 2024 (eoy),% 2022,% 2023,% 2024 (eoy),D% 2023 to 2024
Monto operado a través de tarjetas de crédito,credit,"167,825,970,655","2,026,943,876,058","2,339,679,430,031",100.00%,100.00%,100.00%,15.43%
Monto operado a través de tarjetas de crédito en Agencias de Viajes,credit,"1,176,042,496","20,500,272,779","24,330,627,688",0.70%,1.01%,1.04%,18.68%
Monto operado a través de tarjetas de crédito en Agregadores,credit,"11,851,439,873","150,695,219,245","177,675,415,826",7.06%,7.43%,7.59%,17.90%
Monto operado a través de tarjetas de crédito en Aseguradoras,credit,"7,579,705,392","82,712,057,044","95,802,573,672",4.52%,4.08%,4.09%,15.83%
Monto operado a través de tarjetas de crédito en Beneficencia,credit,"848,269,755","10,656,833,780","12,592,825,094",0.51%,0.53%,0.54%,18.17%
Monto operado a través de tarjetas de crédito en Colegios y Universidades,credit,"2,460,611,848","29,948,132,915","33,737,440,873",1.47%,1.48%,1.44%,12.65%
Monto operado a través de tarjetas de crédito en Comida Rápida,credit,"1,723,255,066","27,680,859,541","39,501,761,795",1.03%,1.37%,1.69%,42.70%
Monto operado a través de tarjetas de crédito en Educación Básica,credit,"1,587,753,129","21,503,163,505","25,733,709,471",0.95%,1.06%,1.10%,19.67%
Monto operado a través de tarjetas de crédito en Entretenimiento,credit,"6,732,982,514","84,068,858,167","94,785,347,873",4.01%,4.15%,4.05%,12.75%
Monto operado a través de tarjetas de crédito en Estacionamientos,credit,"33,827,810","445,090,222","582,438,237",0.02%,0.02%,0.02%,30.86%
Monto operado a través de tarjetas de crédito en Farmacias,credit,"3,278,806,037","42,292,557,548","50,392,360,963",1.95%,2.09%,2.15%,19.15%
Monto operado a través de tarjetas de crédito en Gasolineras,credit,"10,283,114,501","136,631,467,721","156,982,887,832",6.13%,6.74%,6.71%,14.90%
Monto operado a través de tarjetas de crédito en Gobierno,credit,"3,854,722,761","55,696,567,626","65,487,813,084",2.30%,2.75%,2.80%,17.58%
Monto operado a través de tarjetas de crédito en Grandes superficies,credit,"35,441,841,772","390,450,528,655","433,129,755,872",21.12%,19.26%,18.51%,10.93%
Monto operado a través de tarjetas de crédito en Guarderías,credit,"11,966,063","169,151,751","187,742,488",0.01%,0.01%,0.01%,10.99%
Monto operado a través de tarjetas de crédito en Hospitales,credit,"1,240,712,518","16,333,417,484","18,788,853,008",0.74%,0.81%,0.80%,15.03%
Monto operado a través de tarjetas de crédito en Hoteles,credit,"2,501,278,798","32,224,488,969","34,199,646,464",1.49%,1.59%,1.46%,6.13%
Monto operado a través de tarjetas de crédito en Misceláneos,credit,"4,059,726,764","50,445,199,988","65,826,732,597",2.42%,2.49%,2.81%,30.49%
Monto operado a través de tarjetas de crédito en Médicos y dentistas,credit,"1,801,904,072","26,162,771,413","32,681,969,717",1.07%,1.29%,1.40%,24.92%
Monto operado a través de tarjetas de crédito en No definido,credit,"13,930,171","250,877,162","515,933,978",0.01%,0.01%,0.02%,105.65%
Monto operado a través de tarjetas de crédito en Otros,credit,"19,561,780,391","237,298,808,836","281,450,554,840",11.66%,11.71%,12.03%,18.61%
Monto operado a través de tarjetas de crédito en Peaje,credit,"810,735,144","10,577,615,364","11,891,881,751",0.48%,0.52%,0.51%,12.42%
Monto operado a través de tarjetas de crédito en Refacciones y ferretería,credit,"4,334,444,312","60,452,763,265","77,847,127,810",2.58%,2.98%,3.33%,28.77%
Monto operado a través de tarjetas de crédito en Renta de Autos,credit,"417,999,128","4,545,601,510","4,271,466,481",0.25%,0.22%,0.18%,-6.03%
Monto operado a través de tarjetas de crédito en Restaurantes,credit,"7,167,914,978","87,891,054,780","98,309,076,962",4.27%,4.34%,4.20%,11.85%
Monto operado a través de tarjetas de crédito en Salones de belleza,credit,"430,347,254","5,108,956,500","6,259,713,566",0.26%,0.25%,0.27%,22.52%
Monto operado a través de tarjetas de crédito en Supermercados,credit,"16,951,530","205,304,025","185,245,059",0.01%,0.01%,0.01%,-9.77%
Monto operado a través de tarjetas de crédito en Telecomunicaciones,credit,"4,293,017,922","48,803,700,605","55,582,170,470",2.56%,2.41%,2.38%,13.89%
Monto operado a través de tarjetas de crédito en Transporte Aéreo,credit,"4,234,323,770","71,809,803,756","80,239,721,542",2.52%,3.54%,3.43%,11.74%
Monto operado a través de tarjetas de crédito en Transporte Terrestre de Pasajeros,credit,"2,065,734,767","23,108,468,024","25,363,395,872",1.23%,1.14%,1.08%,9.76%
Monto operado a través de tarjetas de crédito en Ventas al detalle (Retail),credit,"28,010,830,117","298,274,283,892","335,343,239,243",16.69%,14.72%,14.33%,12.43%
