Título,Label,Total 2022,Total 2023,Total 2024 (eoy),% 2022,% 2023,% 2024 (eoy),D% 2023 to 2024
Monto operado a través de tarjetas de débito,debit,"281,687,942,721","2,902,226,633,917","3,322,446,883,496",100.00%,100.00%,100.00%,14.48%
Monto operado a través de tarjetas de débito en Agencias de Viajes,debit,"449,447,288","6,277,891,155","6,795,821,565",0.16%,0.22%,0.20%,8.25%
Monto operado a través de tarjetas de débito en Agregadores,debit,"13,446,795,000","146,141,012,748","175,095,935,469",4.77%,5.04%,5.27%,19.81%
Monto operado a través de tarjetas de débito en Aseguradoras,debit,"1,841,182,032","17,644,857,767","19,312,988,675",0.65%,0.61%,0.58%,9.45%
Monto operado a través de tarjetas de débito en Beneficencia,debit,"1,244,401,958","12,503,059,541","14,004,353,078",0.44%,0.43%,0.42%,12.01%
Monto operado a través de tarjetas de débito en Colegios y Universidades,debit,"3,241,585,266","37,903,698,397","43,464,002,835",1.15%,1.31%,1.31%,14.67%
Monto operado a través de tarjetas de débito en Comida Rápida,debit,"3,576,084,029","47,893,283,230","66,011,008,100",1.27%,1.65%,1.99%,37.83%
Monto operado a través de tarjetas de débito en Educación Básica,debit,"1,337,236,826","17,682,541,243","21,296,415,278",0.47%,0.61%,0.64%,20.44%
Monto operado a través de tarjetas de débito en Entretenimiento,debit,"6,770,156,923","72,543,604,632","83,027,418,143",2.40%,2.50%,2.50%,14.45%
Monto operado a través de tarjetas de débito en Estacionamientos,debit,"29,845,073","374,221,112","498,646,203",0.01%,0.01%,0.02%,33.25%
Monto operado a través de tarjetas de débito en Farmacias,debit,"6,418,115,106","72,975,943,524","83,325,929,001",2.28%,2.51%,2.51%,14.18%
Monto operado a través de tarjetas de débito en Gasolineras,debit,"21,204,647,170","255,340,626,388","284,398,661,880",7.53%,8.80%,8.56%,11.38%
Monto operado a través de tarjetas de débito en Gobierno,debit,"5,991,860,166","76,877,502,511","91,236,336,796",2.13%,2.65%,2.75%,18.68%
Monto operado a través de tarjetas de débito en Grandes superficies,debit,"92,687,681,754","889,536,554,172","971,737,417,000",32.90%,30.65%,29.25%,9.24%
Monto operado a través de tarjetas de débito en Guarderías,debit,"7,753,356","106,148,364","108,830,969",0.00%,0.00%,0.00%,2.53%
Monto operado a través de tarjetas de débito en Hospitales,debit,"1,419,621,705","16,368,577,137","18,181,555,884",0.50%,0.56%,0.55%,11.08%
Monto operado a través de tarjetas de débito en Hoteles,debit,"2,167,355,835","24,440,996,547","25,232,377,331",0.77%,0.84%,0.76%,3.24%
Monto operado a través de tarjetas de débito en Misceláneos,debit,"10,422,828,915","120,840,704,259","158,549,616,232",3.70%,4.16%,4.77%,31.21%
Monto operado a través de tarjetas de débito en Médicos y dentistas,debit,"2,151,370,185","27,050,103,616","32,234,590,628",0.76%,0.93%,0.97%,19.17%
Monto operado a través de tarjetas de débito en No definido,debit,"3,601,753","77,972,629","220,601,411",0.00%,0.00%,0.01%,182.92%
Monto operado a través de tarjetas de débito en Otros,debit,"28,348,212,431","259,691,714,205","304,356,798,214",10.06%,8.95%,9.16%,17.20%
Monto operado a través de tarjetas de débito en Peaje,debit,"204,017,552","2,331,458,722","2,748,368,188",0.07%,0.08%,0.08%,17.88%
Monto operado a través de tarjetas de débito en Refacciones y ferretería,debit,"8,727,086,106","102,314,205,845","121,830,236,935",3.10%,3.53%,3.67%,19.07%
Monto operado a través de tarjetas de débito en Renta de Autos,debit,"168,727,726","1,770,241,039","1,643,277,626",0.06%,0.06%,0.05%,-7.17%
Monto operado a través de tarjetas de débito en Restaurantes,debit,"10,543,669,789","114,298,469,965","123,376,406,413",3.74%,3.94%,3.71%,7.94%
Monto operado a través de tarjetas de débito en Salones de belleza,debit,"591,779,649","5,727,897,612","6,623,945,380",0.21%,0.20%,0.20%,15.64%
Monto operado a través de tarjetas de débito en Supermercados,debit,"33,391,788","522,070,645","777,212,136",0.01%,0.02%,0.02%,48.87%
Monto operado a través de tarjetas de débito en Telecomunicaciones,debit,"4,945,614,672","54,291,340,910","66,158,828,068",1.76%,1.87%,1.99%,21.86%
Monto operado a través de tarjetas de débito en Transporte Aéreo,debit,"2,700,311,852","34,685,319,868","35,198,163,163",0.96%,1.20%,1.06%,1.48%
Monto operado a través de tarjetas de débito en Transporte Terrestre de Pasajeros,debit,"4,097,402,224","43,606,870,337","44,704,291,289",1.45%,1.50%,1.35%,2.52%
Monto operado a través de tarjetas de débito en Ventas al detalle (Retail),debit,"46,916,158,597","440,407,745,797","520,297,043,671",16.66%,15.17%,15.66%,18.14%
