Título,Label,Total 2022,Total 2023,Total 2024 (eoy),% 2022,% 2023,% 2024 (eoy),D% 2023 to 2024
Total de monto operado a través de tarjetas,total,"449,513,913,374","4,929,170,509,974","5,662,128,283,864",100.00%,100.00%,100.00%,14.87%
Total de monto operado a través de tarjetas en Agencias de Viajes,total,"1,625,489,780","26,778,163,944","31,126,449,250",0.36%,0.54%,0.55%,16.24%
Total de monto operado a través de tarjetas en Agregadores,total,"25,298,234,875","296,836,231,997","352,771,351,299",5.63%,6.02%,6.23%,18.84%
Total de monto operado a través de tarjetas en Aseguradoras,total,"9,420,887,428","100,356,914,813","115,115,562,335",2.10%,2.04%,2.03%,14.71%
Total de monto operado a través de tarjetas en Beneficencia,total,"2,092,671,715","23,159,893,312","26,597,178,173",0.47%,0.47%,0.47%,14.84%
Total de monto operado a través de tarjetas en Colegios y Universidades,total,"5,702,197,115","67,851,831,320","77,201,443,707",1.27%,1.38%,1.36%,13.78%
Total de monto operado a través de tarjetas en Comida Rápida,total,"5,299,339,095","75,574,142,768","105,512,769,897",1.18%,1.53%,1.86%,39.61%
Total de monto operado a través de tarjetas en Educación Básica,total,"2,924,989,953","39,185,704,745","47,030,124,743",0.65%,0.79%,0.83%,20.02%
Total de monto operado a través de tarjetas en Entretenimiento,total,"13,503,139,436","156,612,462,790","177,812,765,990",3.00%,3.18%,3.14%,13.54%
Total de monto operado a través de tarjetas en Estacionamientos,total,"63,672,880","819,311,333","1,081,084,449",0.01%,0.02%,0.02%,31.95%
Total de monto operado a través de tarjetas en Farmacias,total,"9,696,921,140","115,268,501,070","133,718,289,959",2.16%,2.34%,2.36%,16.01%
Total de monto operado a través de tarjetas en Gasolineras,total,"31,487,761,673","391,972,094,115","441,381,549,709",7.00%,7.95%,7.80%,12.61%
Total de monto operado a través de tarjetas en Gobierno,total,"9,846,582,927","132,574,070,135","156,724,149,871",2.19%,2.69%,2.77%,18.22%
Total de monto operado a través de tarjetas en Grandes superficies,total,"128,129,523,529","1,279,987,082,822","1,404,867,172,858",28.50%,25.97%,24.81%,9.76%
Total de monto operado a través de tarjetas en Guarderías,total,"19,719,415","275,300,123","296,573,448",0.00%,0.01%,0.01%,7.73%
Total de monto operado a través de tarjetas en Hospitales,total,"2,660,334,217","32,701,994,624","36,970,408,889",0.59%,0.66%,0.65%,13.05%
Total de monto operado a través de tarjetas en Hoteles,total,"4,668,634,629","56,665,485,521","59,432,023,790",1.04%,1.15%,1.05%,4.88%
Total de monto operado a través de tarjetas en Misceláneos,total,"14,482,555,682","171,285,904,246","224,376,348,839",3.22%,3.47%,3.96%,31.00%
Total de monto operado a través de tarjetas en Médicos y dentistas,total,"3,953,274,252","53,212,875,033","64,916,560,351",0.88%,1.08%,1.15%,21.99%
Total de monto operado a través de tarjetas en No definido,total,"17,531,918","328,849,788","736,535,380",0.00%,0.01%,0.01%,123.97%
Total de monto operado a través de tarjetas en Otros,total,"47,909,992,818","496,990,523,048","585,807,353,042",10.66%,10.08%,10.35%,17.87%
Total de monto operado a través de tarjetas en Peaje,total,"1,014,752,693","12,909,074,081","14,640,249,925",0.23%,0.26%,0.26%,13.41%
Total de monto operado a través de tarjetas en Refacciones y ferretería,total,"13,061,530,421","162,766,969,098","199,677,364,742",2.91%,3.30%,3.53%,22.68%
Total de monto operado a través de tarjetas en Renta de Autos,total,"586,726,856","6,315,842,564","5,914,744,109",0.13%,0.13%,0.10%,-6.35%
Total de monto operado a través de tarjetas en Restaurantes,total,"17,711,584,771","202,189,524,760","221,685,483,379",3.94%,4.10%,3.92%,9.64%
Total de monto operado a través de tarjetas en Salones de belleza,total,"1,022,126,903","10,836,854,124","12,883,658,942",0.23%,0.22%,0.23%,18.89%
Total de monto operado a través de tarjetas en Supermercados,total,"50,343,320","727,374,670","962,457,175",0.01%,0.01%,0.02%,32.32%
Total de monto operado a través de tarjetas en Telecomunicaciones,total,"9,238,632,593","103,095,041,517","121,740,998,540",2.06%,2.09%,2.15%,18.09%
Total de monto operado a través de tarjetas en Transporte Aéreo,total,"6,934,635,622","106,495,123,624","115,437,884,703",1.54%,2.16%,2.04%,8.40%
Total de monto operado a través de tarjetas en Transporte Terrestre de Pasajeros,total,"6,163,136,988","66,715,338,372","70,067,687,155",1.37%,1.35%,1.24%,5.02%
Total de monto operado a través de tarjetas en Ventas al detalle (Retail),total,"74,926,988,714","738,682,029,700","855,640,282,924",16.67%,14.99%,15.11%,15.83%
